name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Theatre Utopia,1 Matthews Yard, Croydon,NA,Croydon,http://www.matthewsyard.com/,10090382144,E09000008,Fairfield,E05011468,-0.10269837582561578,51.3726881079965,531934.1401838278,165555.94190876378,10/17/2021
The Bridge Theatre,3 Potters Fields Park,NA,NA,Southwark,https://bridgetheatre.co.uk/,10090749570,E09000028,London Bridge & West Bermondsey,E05011104,-0.0788308848323306,51.5041449176166,533211.5332338166,180214.1894026053,10/17/2021
The CLF Art Caf̩,Block A, Bussey Building, 133 Rye Lane,Southwark,https://www.clfartcafe.org/theatre,10090750261,E09000028,Rye Lane,E05011113,-0.0698247345843988,51.47042120636875,533935.2729498034,176481.2687667316,10/17/2021
Sam Wanamaker Playhouse,21 New Globe Walk,NA,NA,Southwark,http://www.shakespearesglobe.com/theatre/whats-on/sam-wanamaker-playhouse,10090750983,E09000028,Borough & Bankside,E05011095,-0.0981810966698339,51.50862324904411,531856.0121425901,180677.01912720065,10/17/2021
The Vaults,Leake Street, Lamebth,NA,Lambeth,https://www.thevaults.london/,10091121720,E09000022,Bishop's,E05000416,-0.11755605740239879,51.50247047745965,530529.4294440716,179958.18721595156,10/17/2021
Cervantes Theatre,Arch 26, Old Union Arches, 229 Union Street,Southwark,http://www.cervantestheatre.com/,10091668523,E09000028,Borough & Bankside,E05011095,-0.10337947810822057,51.503860599984975,531509.0851294284,180138.14491707587,10/17/2021
Hackney Showroom,Hackney Downs Studios, Amhurst Terrace,NA,Hackney,NA,10091775026,E09000012,Stoke Newington,E05009385,-0.06973744167557235,51.55496024245703,533693.3916610423,185880.31772574876,10/17/2021
Bernie Grant Arts Centre,Town Hall Approach Rd, Tottenham Green,NA,Haringey,https://www.berniegrantcentre.co.uk/,10091817474,E09000014,Tottenham Green,E05000280,-0.07400867718298278,51.58808292873386,533300.2656060165,189555.06886799302,10/17/2021
London Theatre,443 New Cross Rd, New Cross,NA,Lewisham,http://www.thelondontheatre.com/,10091838199,E09000023,New Cross,E05000449,-0.031807110401728365,51.47634389435151,536557.27100796,177209.99005259672,10/17/2021
Theatre503,503 Battersea Park Rd,NA,NA,Wandsworth,https://theatre503.com/,10091845630,E09000032,St. Mary's Park,E05000622,-0.16728283521041465,51.472443611027494,527162.6666471869,176532.21139093145,10/17/2021
Tabard Theatre,2 Bath Rd, Chiswick,NA,Hounslow,http://tabardtheatre.co.uk/,10091854897,E09000018,Chiswick Homefields,E05000348,-0.25505657114590613,51.496432560875355,521004.6883802211,179050.3647215207,10/17/2021
The Place,17 Duke's Rd, Bloomsbury,NA,Camden,https://www.theplace.org.uk/,10091861254,E09000007,St. Pancras and Somers Town,E05000143,-0.13056531111893058,51.527810909274656,529554.8082450356,182752.4010589241,10/17/2021
Kings Place,90 York Way, Kings Cross,NA,Camden,https://www.kingsplace.co.uk/,10091871351,E09000007,St. Pancras and Somers Town,E05000143,-0.12357717761961304,51.53474842305999,530019.6391822248,183536.13067293988,10/17/2021
Battersea Power Station Village Hall,188 Kirtling St,NA,NA,Wandsworth,https://www.bac.org.uk/content/40704/to_archive/consultation_sessions_circus_west_village_hall_battersea_power_station,10091874090,E09000032,Queenstown,E05000620,-0.1422729121010573,51.481707079267956,528873.0064864419,177605.88541197835,10/17/2021
Regents Park Open Air Theatre,Inner Cir,NA,NA,City of Westminster,https://openairtheatre.com/,10091898189,E09000033,Regent's Park,E05000643,-0.15603980441207388,51.528807349274174,527785.4126310183,182818.3360089932,10/17/2021
Waterloo East Theatre,Brad St, Lambeth,NA,Lambeth,https://www.waterlooeast.co.uk/,10091908867,E09000022,Bishop's,E05000416,-0.11151769288476607,51.50460338652723,530942.2919584333,180206.1208401178,10/17/2021
Katzpace,Katzenjammers, 24 Southwark Street,NA,Southwark,https://www.katzpace.co.uk/,10093339191,E09000028,Borough & Bankside,E05011095,-0.09262457607560132,51.50540364069288,532250.832650773,180329.09839839512,10/17/2021
Bunker Theatre,53A Southwark St,NA,NA,Southwark,https://www.bunkertheatre.com/,10093341165,E09000028,Borough & Bankside,E05011095,-0.09607722888139904,51.50517260421037,532011.9503969132,180297.1728063487,10/17/2021
Ryan Theatre,5 Yew Walk, Harrow,NA,Harrow,https://www.tagvenue.com/rooms/middlesex/1654/harrow-school/ryan-theatre,100021000000,E09000015,Harrow on the Hill,E05000289,-0.34130073258666443,51.57331898548574,514825.7788598521,187459.55989901948,10/17/2021
The Bread & Roses Theatre,68 Clapham Manor St,NA,NA,Lambeth,https://www.breadandrosestheatre.co.uk/,100022000000,E09000022,Clapham Town,E05000419,-0.13848221865285104,51.466909694859254,529178.0180592203,175967.4239648686,10/17/2021
The Royal Vauxhall Tavern,372 Kennington Lane, Vauxhall,NA,Lambeth,http://www.vauxhalltavern.com/,100022000000,E09000022,Prince's,E05000427,-0.12140522218124666,51.48700390363328,530306.4818677279,178231.7570550674,10/17/2021
White Bear Theatre,138 Kennington Park Rd, Kennington,NA,Lambeth,https://www.whitebeartheatre.co.uk/,100022000000,E09000022,Prince's,E05000427,-0.10965837054656741,51.487220086722886,531121.2081123008,178276.78801998892,10/17/2021
Landor Space,70 Landor Rd, Clapham North,NA,Lambeth,https://www.landorspace.com/,100022000000,E09000022,Larkhall,E05000425,-0.12763222771292285,51.46618085287746,529933.5212685857,175905.60839525872,10/17/2021
Fellowship Inn,Randlesdown Rd,NA,NA,Lewisham,https://www.phoenixch.org.uk/community/fellowship-inn,100022000000,E09000023,Bellingham,E05000437,-0.021849411943753033,51.433231264811184,537378.0765264276,172435.4837693157,10/17/2021
Deaton Theatre,Forest School, College Place,NA,Waltham Forest,https://www.forest.org.uk/senior-school/news-events/facility-hire/,100023000000,E09000031,Wood Street,E05000609,0.007758791750455325,51.58609344906432,538969.1980001077,189486.2310626827,10/17/2021
The Yaa Centre,1 Chippenham Mews,NA,NA,City of Westminster,NA,100023000000,E09000033,Harrow Road,E05000635,-0.19666642788281158,51.52406349493783,524981.0830145588,182220.66117956396,10/17/2021
Churchill Theatre,High Street, Bromley,NA,Bromley,https://churchilltheatre.co.uk/,100023000000,E09000006,Bromley Town,E05000109,0.01285566471615541,51.40428911545257,539878.1178915557,169283.56985983287,10/17/2021
Bromley Little Theatre,North Street, Bromley,NA,Bromley,http://bromleylittletheatre.org/,100023000000,E09000006,Bromley Town,E05000109,0.01363249810803662,51.4082146673247,539920.1437694824,169721.47174865444,10/17/2021
Theatre 62,Wickham Theatre Centre, Corkscrew Hill, West Wickham,Bromley,https://theatre62.wordpress.com/,100023000000,E09000006,West Wickham,E05000127,-0.011943755453455543,51.3734225856746,538246.9306337587,165804.99202744866,10/17/2021
